Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:08:53.241000,GAS,10,0 days 00:01:45.060000,1.0,,,,,0 days 00:00:25.495000,0 days 00:00:37.955000,,0 days 00:08:15.609000,0 days 00:08:53.829000,257.0,283.0,286.0,237.0,False,nan,,True,Toro Rosso,0 days 00:07:07.988000,2018-03-25 05:13:19.169,,17.0,False,,False,False
0 days 00:10:26.613000,GAS,10,0 days 00:01:33.372000,2.0,1.0,,,0 days 00:00:31.357000,0 days 00:00:24.825000,0 days 00:00:37.190000,0 days 00:09:24.632000,0 days 00:09:49.457000,0 days 00:10:26.647000,266.0,286.0,277.0,270.0,True,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:08:53.241000,2018-03-25 05:15:04.422,,17.0,False,,False,False
0 days 00:11:59.474000,GAS,10,0 days 00:01:32.861000,3.0,1.0,,,0 days 00:00:31.160000,0 days 00:00:24.725000,0 days 00:00:36.976000,0 days 00:10:57.807000,0 days 00:11:22.532000,0 days 00:11:59.508000,260.0,283.0,294.0,277.0,True,ULTRASOFT,2.0,True,Toro Rosso,0 days 00:10:26.613000,2018-03-25 05:16:37.794,,17.0,False,,False,False
0 days 00:13:31.658000,GAS,10,0 days 00:01:32.184000,4.0,1.0,,,0 days 00:00:30.835000,0 days 00:00:24.730000,0 days 00:00:36.619000,0 days 00:12:30.343000,0 days 00:12:55.073000,0 days 00:13:31.692000,264.0,283.0,294.0,296.0,True,ULTRASOFT,3.0,True,Toro Rosso,0 days 00:11:59.474000,2018-03-25 05:18:10.655,,17.0,False,,False,False
0 days 00:15:03.990000,GAS,10,0 days 00:01:32.332000,5.0,1.0,,,0 days 00:00:30.716000,0 days 00:00:24.821000,0 days 00:00:36.795000,0 days 00:14:02.408000,0 days 00:14:27.229000,0 days 00:15:04.024000,266.0,283.0,283.0,295.0,False,ULTRASOFT,4.0,True,Toro Rosso,0 days 00:13:31.658000,2018-03-25 05:19:42.839,21,17.0,False,,False,True
0 days 00:16:42.170000,GAS,10,0 days 00:01:38.180000,6.0,1.0,,,0 days 00:00:30.866000,0 days 00:00:24.601000,0 days 00:00:42.713000,0 days 00:15:34.890000,0 days 00:15:59.491000,0 days 00:16:42.204000,262.0,283.0,277.0,284.0,False,ULTRASOFT,5.0,True,Toro Rosso,0 days 00:15:03.990000,2018-03-25 05:21:15.171,2,16.0,False,,False,True
0 days 00:18:13.707000,GAS,10,0 days 00:01:31.537000,7.0,1.0,,,0 days 00:00:30.529000,0 days 00:00:24.583000,0 days 00:00:36.425000,0 days 00:17:12.733000,0 days 00:17:37.316000,0 days 00:18:13.741000,265.0,275.0,278.0,,True,ULTRASOFT,6.0,True,Toro Rosso,0 days 00:16:42.170000,2018-03-25 05:22:53.351,21,16.0,False,,False,True
0 days 00:19:45.026000,GAS,10,0 days 00:01:31.319000,8.0,1.0,,,0 days 00:00:30.438000,0 days 00:00:24.594000,0 days 00:00:36.287000,0 days 00:18:44.179000,0 days 00:19:08.773000,0 days 00:19:45.060000,264.0,274.0,280.0,272.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 00:18:13.707000,2018-03-25 05:24:24.888,1,16.0,False,,False,True
0 days 00:21:16.167000,GAS,10,0 days 00:01:31.141000,9.0,1.0,,,0 days 00:00:30.515000,0 days 00:00:24.328000,0 days 00:00:36.298000,0 days 00:20:15.575000,0 days 00:20:39.903000,0 days 00:21:16.201000,263.0,276.0,278.0,280.0,True,ULTRASOFT,8.0,True,Toro Rosso,0 days 00:19:45.026000,2018-03-25 05:25:56.207,12,16.0,False,,False,True
0 days 00:22:47.303000,GAS,10,0 days 00:01:31.136000,10.0,1.0,,,0 days 00:00:30.548000,0 days 00:00:24.305000,0 days 00:00:36.283000,0 days 00:21:46.749000,0 days 00:22:11.054000,0 days 00:22:47.337000,264.0,279.0,279.0,282.0,True,ULTRASOFT,9.0,True,Toro Rosso,0 days 00:21:16.167000,2018-03-25 05:27:27.348,1,16.0,False,,False,True
